Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
FingerMovements,Local DISSFCM,Turn Vote,24,0.547619048,0.547727273,0.547619048,0.54736245,4,1
FingerMovements,Local DISSFCM,Majority Vote,21,0.55952381,0.56122449,0.55952381,0.556443556,4,1
FingerMovements,Local DISSFCM,Min Move,5,0.547619048,0.577205882,0.547619048,0.49968652,4,1
FingerMovements,Local DISSFCM,Turn Vote,4,0.535714286,0.535897436,0.535714286,0.535121328,4,10
FingerMovements,Local DISSFCM,Majority Vote,4,0.535714286,0.535897436,0.535714286,0.535121328,4,10
FingerMovements,Local DISSFCM,Min Move,4,0.535714286,0.535897436,0.535714286,0.535121328,4,10
FingerMovements,Local DISSFCM,Turn Vote,18,0.547619048,0.550480769,0.547619048,0.541115584,6,0.01
FingerMovements,Local DISSFCM,Majority Vote,18,0.535714286,0.537433155,0.535714286,0.530322581,6,0.01
FingerMovements,Local DISSFCM,Min Move,8,0.535714286,0.568255688,0.535714286,0.472888174,6,0.01
FingerMovements,Local DISSFCM,Turn Vote,21,0.571428571,0.57208238,0.571428571,0.570454545,6,0.1
FingerMovements,Local DISSFCM,Majority Vote,21,0.571428571,0.57208238,0.571428571,0.570454545,6,0.1
FingerMovements,Local DISSFCM,Min Move,11,0.535714286,0.555311677,0.535714286,0.490592443,6,0.1
FingerMovements,Local DISSFCM,Turn Vote,25,0.55952381,0.56122449,0.55952381,0.556443556,6,1
FingerMovements,Local DISSFCM,Majority Vote,25,0.55952381,0.560379528,0.55952381,0.557957616,6,1
FingerMovements,Local DISSFCM,Min Move,22,0.535714286,0.593333333,0.535714286,0.450980392,6,1
FingerMovements,Local DISSFCM,Turn Vote,25,0.535714286,0.555311677,0.535714286,0.490592443,6,10
FingerMovements,Local DISSFCM,Majority Vote,25,0.535714286,0.555311677,0.535714286,0.490592443,6,10
FingerMovements,Local DISSFCM,Min Move,25,0.535714286,0.535734543,0.535714286,0.535648476,6,10
FingerMovements,Local IFCM,Turn Vote,2,0.55952381,0.560379528,0.55952381,0.557957616,2,
FingerMovements,Local IFCM,Majority Vote,2,0.571428571,0.57208238,0.571428571,0.570454545,2,
FingerMovements,Local IFCM,Min Move,2,0.55952381,0.562388592,0.55952381,0.554408602,2,
FingerMovements,Local IFCM,Turn Vote,4,0.523809524,0.523863636,0.523809524,0.523539421,4,
FingerMovements,Local IFCM,Majority Vote,4,0.523809524,0.523863636,0.523809524,0.523539421,4,
FingerMovements,Local IFCM,Min Move,4,0.535714286,0.568255688,0.535714286,0.472888174,4,
FingerMovements,Local IFCM,Turn Vote,6,0.595238095,0.598823529,0.595238095,0.591533181,6,
FingerMovements,Local IFCM,Majority Vote,6,0.595238095,0.598823529,0.595238095,0.591533181,6,
FingerMovements,Local IFCM,Min Move,6,0.547619048,0.565625,0.547619048,0.514303104,6,
FingerMovements,Local IFCM,Turn Vote,8,0.547619048,0.549411765,0.547619048,0.543478261,8,
FingerMovements,Local IFCM,Majority Vote,8,0.55952381,0.563907486,0.55952381,0.5518385,8,
FingerMovements,Local IFCM,Min Move,8,0.535714286,0.535897436,0.535714286,0.535121328,8,
FingerMovements,Local IFCM,Turn Vote,10,0.523809524,0.523863636,0.523809524,0.523539421,10,
