Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,Local IFCM,Majority Vote,36,0.6557377049180327,0.6621909966172261,0.6557377049180327,0.6467089855787009,36
RacketSports,Local IFCM,Min Move,36,0.5901639344262295,0.6532355478861087,0.5901639344262295,0.5927140255009107,36
RacketSports,Local IFCM,Turn Vote,40,0.5737704918032787,0.5351548269581057,0.5737704918032787,0.5247545366879987,40
RacketSports,Local IFCM,Majority Vote,40,0.6229508196721312,0.6553120297774611,0.6229508196721312,0.5805815768930523,40
RacketSports,Local IFCM,Min Move,40,0.6229508196721312,0.6510145592112806,0.6229508196721312,0.6182669789227166,40
RacketSports,FCM,Turn Vote,4,0.2786885245901639,0.09289617486338798,0.2786885245901639,0.13934426229508196,4
RacketSports,FCM,Majority Vote,4,0.2786885245901639,0.0893906588308073,0.2786885245901639,0.13536299765807963,4
RacketSports,FCM,Min Move,4,0.2786885245901639,0.2536272847182966,0.2786885245901639,0.16207354895879486,4
RacketSports,FCM,Turn Vote,8,0.4426229508196721,0.46267830530125614,0.4426229508196721,0.4272146835045886,8
RacketSports,FCM,Majority Vote,8,0.36065573770491804,0.3363181338109014,0.36065573770491804,0.31406384814495253,8
RacketSports,FCM,Min Move,8,0.45901639344262296,0.4330680982967437,0.45901639344262296,0.4070625717966781,8
RacketSports,FCM,Turn Vote,12,0.5081967213114754,0.5667880995749848,0.5081967213114754,0.504595131644312,12
RacketSports,FCM,Majority Vote,12,0.5901639344262295,0.6962019339729546,0.5901639344262295,0.5872594440484675,12
RacketSports,FCM,Min Move,12,0.3442622950819672,0.3371833084947839,0.3442622950819672,0.33150932730356136,12
RacketSports,FCM,Turn Vote,16,0.4262295081967213,0.29786343720769953,0.4262295081967213,0.32377049180327877,16
RacketSports,FCM,Majority Vote,16,0.45901639344262296,0.3472111155537785,0.45901639344262296,0.3596758997550405,16
RacketSports,FCM,Min Move,16,0.4426229508196721,0.49225080082909367,0.4426229508196721,0.4303582270795385,16
RacketSports,FCM,Turn Vote,20,0.4426229508196721,0.47742749054224465,0.4426229508196721,0.4479410616705699,20
RacketSports,FCM,Majority Vote,20,0.39344262295081966,0.4515447194435569,0.39344262295081966,0.36265938069216763,20
RacketSports,FCM,Min Move,20,0.5901639344262295,0.5831923244253964,0.5901639344262295,0.5606534260561346,20
RacketSports,FCM,Turn Vote,24,0.4918032786885246,0.5335070371739914,0.4918032786885246,0.47353267739895694,24
RacketSports,FCM,Majority Vote,24,0.5409836065573771,0.6511839708561019,0.5409836065573771,0.4877898920176746,24
RacketSports,FCM,Min Move,24,0.5245901639344263,0.516087691907364,0.5245901639344263,0.5107708785814168,24
RacketSports,FCM,Turn Vote,28,0.47540983606557374,0.4468674545685602,0.47540983606557374,0.3779635635159125,28
RacketSports,FCM,Majority Vote,28,0.5081967213114754,0.7006245120999219,0.5081967213114754,0.4510244073646188,28
RacketSports,FCM,Min Move,28,0.639344262295082,0.6781525044910228,0.639344262295082,0.6384371441028199,28
RacketSports,FCM,Turn Vote,32,0.5901639344262295,0.6280135004821601,0.5901639344262295,0.5717524264324899,32
RacketSports,FCM,Majority Vote,32,0.5737704918032787,0.7141371408425877,0.5737704918032787,0.547691232479082,32
RacketSports,FCM,Min Move,32,0.5737704918032787,0.6392271662763466,0.5737704918032787,0.5447517862480051,32
RacketSports,FCM,Turn Vote,36,0.3770491803278688,0.3241803278688525,0.3770491803278688,0.2992135724468938,36
RacketSports,FCM,Majority Vote,36,0.36065573770491804,0.21328106438583988,0.36065573770491804,0.2511646647024754,36
RacketSports,FCM,Min Move,36,0.5901639344262295,0.6577868852459017,0.5901639344262295,0.5800135107115865,36
RacketSports,FCM,Turn Vote,40,0.5573770491803278,0.6278753320806065,0.5573770491803278,0.5322664584959667,40
RacketSports,FCM,Majority Vote,40,0.5901639344262295,0.6752732240437158,0.5901639344262295,0.5482243535223481,40
RacketSports,FCM,Min Move,40,0.6065573770491803,0.661592505854801,0.6065573770491803,0.6181714607944117,40
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8330849478390462,0.819672131147541,0.8192184257758028,3
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.903530895334174,0.8524590163934426,0.845737846119089,4
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7872550228029089,0.7868852459016393,0.785792349726776,5
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8179525392640147,0.8032786885245902,0.8042498296879302,6
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.8727097396335584,0.8688524590163934,0.8702875752056081,7
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8069069268379019,0.8032786885245902,0.8040131617603854,8
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8491803278688524,0.8524590163934426,0.8503619686719307,9
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.846448087431694,0.8360655737704918,0.8384062376658885,10
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.869216757741348,0.8688524590163934,0.8686409307244843,11
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.805359394703657,0.8032786885245902,0.8012619742410585,12
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8206582028842598,0.819672131147541,0.8187613843351548,13
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7833333333333333,0.7868852459016393,0.780426958493663,14
